id,pashto,reference_english,english_prediction,hindi_direct_prediction,hindi_pivot_prediction,english_score_1_to_5,hindi_direct_score_1_to_5,hindi_pivot_score_1_to_5,best_hindi_method,error_type,comment
1,105 زیرمې بک په PocketFruity بک امتیازات نه,"Ang 'Lucky New Year' ay LIVE sa Black Diamond, Spartan Slots at Box 24!",105 deposit book on PocketFruity book no bonuses,PocketFruity पर 105 जमा बुक नहीं बोनस,PocketFruity बुक पर जमाबुक 105 कोई बोनस नहीं,,,,,,
2,.: پاييز 1392، جلد 9، شماره 3,.: Year 12، No. 2,": p. 1392, volume 9, number 3",": पायेज़ 1392, वॉल्यूम 9, अंक 3",": पृ. 1392, खंड 9, संख्या 3",,,,,,
3,سامسونګ له خپلو نويو موبایلونو پرده پورته کړه,Abdullah says won't join election ticket of any presidential...,Samsung unveiled its new phones,सैमसंग ने अपने नए मोबाइलों का पर्दा उठाया,सैमसंग ने अपने नए फोन का अनावरण किया,,,,,,
4,د ویب پاڼې ازموینه، د سیسټم څخه چې په شیکاګو کې موقعیت لري، TTFB: 486ms.,"Webpage Test, from server located at Chicago, TTFB: 486ms.","Website test, from a system based in Chicago, TTFB: 486ms.","साइट परीक्षण, शिकागो में स्थित एक सिस्टम से, TTFB: 486ms।","साइट परीक्षण, शिकागो में स्थित एक प्रणाली से, TTFB: 486ms.",,,,,,
5,ذخيره شما: $2.40 (60%),Bazic #2B Premium Wood Pencil - 12/Pack,Savings: $2.40 (60%),बचतः $2.40 (60%),बचतः $2.40 (60%),,,,,,
6,تناوب ظرفیت: 20 ټنه اعظمي,Rotation capacity 20 tons maximum,Turning capacity: 20 tonnes maximum,टर्न क्षमताः 20 टन अधिकतम,घुमाव क्षमताः अधिकतम 20 टन,,,,,,
7,PE کاربن Spiral پیاوړی نل تولید,Plastic Pipe Production Line,PE Carbon Spiral Strengthened Pipe Production,पीई कार्बन सर्पिल मजबूत नल उत्पादन,पीई कार्बन सर्पिल प्रबलित पाइप उत्पादन,,,,,,
8,4 Min BGA او مايکرو BGA جګوالی او توپ حساب 0،008 په. (0.2mm) جګوالی، توپ حساب د 1000 څخه زیات,"4 Min BGA and Micro BGA pitch and ball counts 0.008 in. (0.2mm) pitch, ball count greater than 1000","4 Min BGA and Micro BGA accuracy and ball count 0.008 in. (0.2mm) accuracy, ball count greater than 1000","4 मिन BGA और माइक्रो BGA बल और गेंद खाता 0.008 पर. (0.2mm) बल, गेंद खाता 1000 से अधिक","4 मिन बीजीए और माइक्रो बीजीए सटीकता और गेंद की गिनती 0.008 इंच (0.2 मिमी) सटीकता, गेंद की गिनती 1000 से अधिक",,,,,,
9,نړیواله ډله: د اسلامی هیوادونو د غونډو ترمنځه اتحادیه ۱۱ کانفرانس په د بهمن میاشته څلورم نېټې باندې د اسلامی شورا غونډې مشر په شتون سره بغداد کې شروع شو.,TEHRAN (IQNA) – The United Arab Emirates’ Ministry of Culture and Knowledge Development plans to launch the ninth session of the Ramadan Forum for Quran calligraphy at Dubai Festival City on Sunday.,International Group: The 11th Conference between the Assemblies of Islamic Countries kicked off in Baghdad on the fourth day of the meeting of the Islamic Council in Baghdad.,अंतर्राष्ट्रीय समूहः इस्लामिक काउंसिल की बैठक के अध्यक्ष की उपस्थिति में बगदाद में इस्लामिक काउंसिल की चौथी बैठक पर इस्लामिक देशों के बीच संघ 11 सम्मेलन शुरू हुआ।,अंतर्राष्ट्रीय समूहः इस्लामिक परिषद की बैठक के चौथे दिन बगदाद में इस्लामिक देशों की विधानसभाओं के बीच 11 वां सम्मेलन शुरू हुआ।,,,,,,
10,د هند حیدرآباد جومات په کلینیک کښې د بېلابېلو دینونو منونکو نه ښه راغلاست,Young Australian Arbaeen Pilgrim Talks about How Everyone Is Attracted to Imam Hussein (AS),Hyderabad mosque in India welcomes people of different faiths to the clinic,भारत के हैदराबाद मस्जिद ने विभिन्न धर्मों के लोगों का स्वागत किया,भारत की हैदराबाद मस्जिद में विभिन्न धर्मों के लोगों का स्वागत किया गया,,,,,,
11,4 متره لاس ترس,Big Aluminum Stage TSA-4,4 meters,4 मीटर हाथ ट्रेस,4 मीटर,,,,,,
12,HGH کلینیک تایلنډ - په بنکاک کې د درملتون څخه د انتقال جینتروپین,HGH Kit Thailand - kit of Genotropin pens from Pfizer in Bangkok,HGH Clinic Thailand - transfer genotropin from a pharmacy in Bangkok,एचजीएच क्लिनिक थाईलैंड - बैंकॉक में एक फार्मेसी से ट्रांसफर जेनेट्रोपिन,एचजीएच क्लिनिक थाईलैंड - बैंकॉक में एक फार्मेसी से जेनोट्रोपिन स्थानांतरित करें,,,,,,
13,ټول د نیپون هوايي شرکت (3 liveries),All Nippon Airways (3 liveries),All Nippon Airlines (3 liveries),सभी नेपॉन एयरलाइंस (3 liveries),ऑल निप्पॉन एयरलाइंस (3 लिवरी),,,,,,
